total=8637 named=933
RulesClass::Read_Animations @ 006728b0
RulesClass::Read_AudioVisual @ 006691e0
RulesClass::Read_BuildingTypes @ 00672660
RulesClass::Read_ColorAdd @ 0066d480
RulesClass::Read_Colors @ 0066d3a0
RulesClass::Read_CombatDamage @ 0066bbb0
RulesClass::Read_Countries @ 006722f0
RulesClass::Read_CrateRules @ 0066b900
RulesClass::Read_Difficulty @ 0066d270
RulesClass::Read_ElevationModel @ 0066d150
RulesClass::Read_File @ 00668bf0
RulesClass::Read_General @ 0066d530
RulesClass::Read_IQ @ 00674240
RulesClass::Read_InfantryTypes @ 00672280
RulesClass::Read_JumpjetControls @ 006743d0
RulesClass::Read_LandCharacteristics @ 00674000
RulesClass::Read_Movies @ 00674550
RulesClass::Read_MultiplayerDialogSettings @ 00671ea0
RulesClass::Read_ParticleSystems @ 00672a70
RulesClass::Read_Particles @ 00672a00
RulesClass::Read_Powerups @ 00673e80
RulesClass::Read_Radiation @ 0066cf70
RulesClass::Read_Sides @ 00672440
RulesClass::Read_SpecialWeapons @ 00668fb0
RulesClass::Read_VehicleTypes @ 00672360
RulesClass::Read_VoxelAnims @ 00672920
RulesClass::Read_WallModel @ 0066d1f0
SavegameInformation::Read @ 00681840
SavegameInformation::Write @ 006812e0
ScenarioClass::GetWaypointCoords @ 0068bcc0
ScenarioClass::IsDefinedWaypoint @ 0068bd80
ScenarioClass::ReadStartPoints @ 00689d30
ScriptClass::ClearMission @ 00691590
ScriptClass::GetCurrentAction @ 00691500
ScriptClass::GetNextAction @ 00691540
ScriptClass::HasNextMission @ 006915b0
ScriptClass::SetMission @ 006915a0
SessionClass::Am_I_Master @ 00697e70
SessionClass::CreateConnections @ 00697b70
SessionClass::ReadScenarioDescriptions @ 00699980
SessionClass::Resume @ 0069bab0
ShapeButtonClass::AI @ 0069e010
ShapeButtonClass::ClearShape @ 0069de70
ShapeButtonClass::SetLoadedStatus @ 0069dea0
ShapeButtonClass::SetToolTip @ 0069dcf0
ShapeButtonClass::SetToolTip @ 0069dd30
ShapeButtonClass::StartFlashing @ 0069dfc0
ShapeButtonClass::StopFlashing @ 0069dff0
SideClass::WhatAmI @ 006a4550
SidebarClass::AddCameo @ 006a6300
SidebarClass::BlitSidebar @ 006a70e0
SidebarClass::GetVisibleCameoCount @ 006ac430
SidebarClass::OnTechnoDestroyed @ 006a5f20
SidebarClass::RepaintSidebar @ 006a60a0
SidebarClass::Scroll @ 006a6a00
SidebarClass::SetTab @ 006a7590
SidebarClass::UpdateScrollButtons @ 006a6610
SlaveManagerClass::AllGuard @ 006b0c80
SlaveManagerClass::CreateSlave @ 006af650
SlaveManagerClass::Deploy2 @ 006b0d60
SlaveManagerClass::Killed @ 006b0ae0
SlaveManagerClass::LostSlave @ 006b0a20
SlaveManagerClass::SetOwner @ 006af580
SlaveManagerClass::ShouldWakeUpNow @ 006b1020
SmudgeClass::WhatAmI @ 006b4a50
SpawnManagerClass::CountAliveSpawns @ 006b7d30
SpawnManagerClass::CountDockedSpawns @ 006b7d50
SpawnManagerClass::CountLaunchingSpawns @ 006b7d80
SpawnManagerClass::KillNodes @ 006b7100
SpawnManagerClass::ResetTarget @ 006b7bb0
SpawnManagerClass::SetTarget @ 006b7b90
